id,initiated,hiredate,email,firstname,lastname,title,department,location,country,type
100035435,2015-12-11T09:16:20.722-08:00,3/22/67,GretchenRMorrow@jourrapide.com,Gretchen,Morrow,Power plant operator,Physical Product,Britling Cafeterias,United Kingdom,Employee
100056435,2015-12-15T10:11:24.604-08:00,6/22/99,ElizabethLSnow@armyspy.com,Elizabeth,Snow,Oxygen therapist,Physical Product,Grade A Investment,United States of America,Employee
100037955,2015-12-16T14:31:32.765-08:00,5/31/74,AlbertMPeterson@einrot.com,Albert,Peterson,Psychologist,Physical Product,Grass Roots Yard Services,United States of America,Employee
100035435,2016-01-20T11:15:47.249-08:00,9/9/69,JohnMLynch@dayrep.com,John,Lynch,Environmental hydrologist,Physical Product,Waccamaw's Homeplace,United States of America,Employee
100057657,2016-01-21T12:45:38.261-08:00,4/9/83,TheresaJCahoon@teleworm.us,Theresa,Cahoon,Personal chef,Physical Product,Cala Foods,United States of America,Employee
100056747,2016-02-01T11:25:39.317-08:00,6/26/98,KennethHPayne@dayrep.com,Kenneth,Payne,Central office operator,Frontline,Magna Consulting,United States of America,Employee
100035435,2016-02-01T11:28:11.953-08:00,4/16/82,LeifTSpeights@fleckens.hu,Leif,Speights,Staff development director,Frontline,Rivera Property Maintenance,United States of America,Employee
100035435,2016-02-01T12:21:01.756-08:00,8/6/80,JamesSRobinson@teleworm.us,James,Robinson,Scheduling clerk,Frontline,Discount Furniture Showcase,United States of America,Employee
100074688,2016-02-01T13:29:19.147-08:00,12/14/74,AnnaDMoberly@jourrapide.com,Anna,Moberly,Playwright,Physical Product,The Wiz,United States of America,Employee
100665778,2016-02-04T14:40:05.223-08:00,9/13/66,MarjorieBCrawford@armyspy.com,Marjorie,Crawford,"Court, municipal, and license clerk",Physical Product,The Serendipity Dip,United Kingdom,Employee
100876876,2016-02-24T12:39:25.872-08:00,12/19/67,LyleCHackett@fleckens.hu,Lyle,Hackett,Airframe mechanic,Physical Product,Infinity Investment Plan,United States of America,Employee
100658565,2016-02-29T15:52:12.933-08:00,11/17/83,MaryJDensmore@jourrapide.com,Mary,Densmore,Employer relations representative,Frontline,One-Up Realtors,United States of America,Employee
100766547,2016-03-01T12:32:53.357-08:00,10/1/87,CindyRDiaz@armyspy.com,Cindy,Diaz,Student affairs administrator,Physical Product,Mr. AG's,United States of America,Employee
100045677,2016-03-02T12:07:44.264-08:00,8/16/65,AndreaTLigon@einrot.com,Andrea,Ligon,Railroad engineer,Central Growth,Robinson Furniture,United States of America,Employee
